Product Name,URL,Price
"HP 15 Intel Core-i3 7th Gen (8GB DDR4/1 TB HDD/Windows 10/Integrated Graphics/2.04 kg),Full HD Laptop, (15.6-inch,Sparkling Black) 15q-ds0026tu",/HP-Integrated-15-6-inch-Sparkling-15q-ds0026tu/dp/B07LGM5G37/ref=sr_1_3?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-3,"35,990"
"HP 14Q CS0009TU 2018 14-inch Laptop (7th Gen Core i3 7020U/4GB/1TB/DOS 2.0/Integrated Graphics), Jet Black",/HP-CS0009TU-14-inch-Integrated-Graphics/dp/B07L9SCJMB/ref=sr_1_4?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-4,"25,990"
Dell Inspiron 3567 Intel Core i3 7th Gen 15.6-inch FHD Laptop (4GB/1TB HDD/Windows 10 Home/MS Office/Black/2.5kg),/Dell-Inspiron-3567-15-6-inch-Windows/dp/B07GQNFV85/ref=sr_1_5?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-5,"29,399"
"HP 14 Core i3 7th gen 14-inch Thin and Light Laptop (4GB /1TB HDD/Windows 10 Home/Smoke Gray /1.59 kg), 14q-cs0006TU",/HP-14-inch-Laptop-Windows-14q-cs0006TU/dp/B07FMVPJ2F/ref=sr_1_6?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-6,"29,990"
"Lenovo Ideapad 330s Intel Core i3 8th Gen 14-inch Full HD Thin & Light Laptop (4GB RAM/1TB HDD/Windows 10 Home / Platinum Grey /1.6kg), 81F40196IN",/Lenovo-Ideapad-14-inch-Platinum-81F40196IN/dp/B07NQN2M5S/ref=sr_1_7?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-7,"34,000"
"HP 15 AMD E2 15.6-inch Entry Level Laptop (4GB /1TB HDD/Windows 10 Home/Jet Black/2.04 Kgs), 15q-dy0001au",/HP-15-6-inch-Laptop-Windows-15q-dy0001au/dp/B07FC6S8J7/ref=sr_1_8?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-8,"21,470"
iBall Excelance OHD IPS Screen with 11.6-inch FHD Display Laptop (8th Gen Intel Atom X5-Z8350/2GB DDR3/32GB/Windows 10/Integrated Graphics) Chocolate Brown,/iBall-Excelance-OHD-11-6-inch-Integrated/dp/B07C26VTMK/ref=sr_1_9?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-9,"9,490"
"Lenovo Ideapad 330 Intel Core i5 8th Gen 15.6-inch Full HD Laptop (8GB /1TB HDD/DOS/Onyx Black/ 2.2kg), 81DE01Q6IN",/Lenovo-Ideapad-15-6-inch-Laptop-81DE01Q6IN/dp/B07KTHCXN3/ref=sr_1_10?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-10,"39,400"
"Lenovo Ideapad 330s Intel Core i3 8th Gen 14-inch Full HD Thin & Light Laptop (4GB/1TB HDD/Windows 10 Home/Platinum Grey/1.7kg), 81F400GLIN",/Lenovo-Ideapad-330S-Intel-Core/dp/B07F5LNPP3/ref=sr_1_13?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-13,"34,380"
Dell Vostro 3478 Intel Core i3 8th Gen 14-inch Laptop (4GB/1TB HDD/Ubuntu/Black/2.25kg),/Dell-Vostro-3478-14-inch-Laptop/dp/B07H7LBXLR/ref=sr_1_14?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-14,"27,990"
"ASUS X507 ( Core i3-7th Gen /8 GB/ 1TB HDD / 15.6"" FHD/ Windows 10 ) Thin and Light X507UA- EJ274T ( Icicle Gold /1.68 kg)",/i3-7th-Windows-X507UA-EJ274T-Icicle/dp/B07N8CJG47/ref=sr_1_15?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-15,"31,689"
"iBall M500 14-inch Laptop (Intel Celeron N3350/4GB/32GB/Windows 10/Integrated Graphics), Cobalt Blue",/iBall-CompBook-M500-Integrated-Graphics/dp/B07DJLDPF1/ref=sr_1_16?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-16,"10,990"
Dell Vostro 3478 Intel Core i3 8th Gen 14-inch Laptop (4GB/1TB HDD/Windows 10 Home/Black/2.25kg),/Dell-Vostro-3478-14-inch-Windows/dp/B07H7RPR9Y/ref=sr_1_17?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-17,"29,990"
"Lenovo Ideapad 330 15.6-inch FHD Laptop (Intel Core I3 7th Gen/4GB RAM/1TB HDD/Windows 10 Home/2.2 Kg/Onyx Black), 81DE01K2IN",/Lenovo-Ideapad-15-6-inch-Windows-81DE01K2IN/dp/B07HBJBMDF/ref=sr_1_18?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-18,"28,490"
"HP 14 Core i3 7th gen 14-inch Thin and Light Laptop (4GB/1TB HDD/Windows 10 Home/MS Office/Smoke Gray/1.59 kg), 14q-cs0014TU",/HP-14-inch-Laptop-Windows-14q-cs0014TU/dp/B07QSB7379/ref=sr_1_19?crid=15INFDM7Y2K5T&keywords=laptops+under+40000+rupees&qid=1559462159&s=gateway&sprefix=laptops%2Caps%2C310&sr=8-19,"29,990"
